PackageItemIndex,WminLevel,WmaxLevel,ItemCount,ItemIndex_0,ItemIndex_1,ItemIndex_2,ItemIndex_3,ItemIndex_4,ItemIndex_5,ItemIndex_6,ItemIndex_7,ItemIndex_8,ItemIndex_9
63501,0,50,7,60141,60136,62508,60060,60062,60142,60139,0,0,0
63502,0,50,4,60141,60060,60062,60138,0,0,0,0,0,0
63503,0,0,3,60141,60137,60140,0,0,0,0,0,0,0
63505,0,0,3,60144,57020,57021,0,0,0,0,0,0,0
63506,0,0,3,62633,57022,60152,0,0,0,0,0,0,0
63507,0,0,6,60144,57020,57021,57022,62633,60152,0,0,0,0
63701,0,0,6,57224,57221,57218,58305,57227,60140,0,0,0,0
63702,0,0,6,57439,57436,57433,58308,57442,60140,0,0,0,0
63703,0,0,6,57654,57651,57648,58311,57657,60140,0,0,0,0
63704,0,0,6,58084,58081,58078,58317,58087,60140,0,0,0,0
63705,0,0,6,57869,57866,57863,58314,57872,60140,0,0,0,0
63706,0,0,6,58299,58296,58293,58320,58302,60140,0,0,0,0
